id,title,description,category,tags,price_min,price_max,amazon_url,image_url,locale,active
prod-1,Wireless Earbuds,True wireless earbuds with charging case and noise cancellation,Electronics,tech|music|wireless|audio|18-24|25-34|birthday|graduation,40,80,,,US,true
prod-2,Smart Watch,Fitness tracking smartwatch with heart rate monitor,Electronics|Fitness,tech|fitness|health|gadget|25-34|35-44|birthday|graduation,150,300,,,US,true
prod-3,Portable Bluetooth Speaker,Waterproof portable speaker with 12-hour battery,Electronics,tech|music|party|outdoor|18-24|birthday|friend,30,70,,,US,true
prod-4,Phone Stand with Wireless Charger,Adjustable phone stand with fast wireless charging,Electronics|Office,tech|office|practical|25-34|coworker|birthday,25,45,,,US,true
prod-5,Smart LED Light Bulbs,Color-changing WiFi LED bulbs 4-pack,Electronics|Home,tech|home|smart home|mood lighting|25-34|housewarming,35,60,,,US,true
prod-6,Tablet Stand,Aluminum adjustable tablet stand for desk or kitchen,Electronics|Office,tech|office|cooking|practical|coworker|birthday,20,35,,,US,true
prod-7,USB-C Hub Adapter,7-in-1 USB-C hub with HDMI and SD card reader,Electronics|Office,tech|office|student|practical|graduation|25-34,30,50,,,US,true
prod-8,Mechanical Keyboard,RGB backlit mechanical gaming keyboard,Electronics|Games,gaming|tech|office|18-24|25-34|birthday|gamer,60,120,,,US,true
prod-9,Webcam HD 1080p,High-definition webcam with built-in microphone,Electronics|Office,tech|office|remote work|video calls|25-34|coworker,40,70,,,US,true
prod-10,Power Bank 20000mAh,High-capacity portable phone charger,Electronics|Travel,tech|travel|practical|student|18-24|birthday,25,45,,,US,true
prod-11,Gaming Mouse,Ergonomic RGB gaming mouse with programmable buttons,Electronics|Games,gaming|tech|pc|18-24|25-34|birthday|gamer,30,60,,,US,true
prod-12,Gaming Headset,Surround sound gaming headset with noise-canceling mic,Electronics|Games,gaming|audio|tech|18-24|birthday|gamer,50,100,,,US,true
prod-13,Game Controller,Wireless game controller compatible with PC and console,Electronics|Games,gaming|tech|18-24|birthday|friend|gamer,40,70,,,US,true
prod-14,Gaming Chair Cushion,Memory foam seat cushion for gaming chairs,Games|Comfort,gaming|comfort|office|25-34|gamer,30,50,,,US,true
prod-15,Retro Handheld Console,Classic games handheld console with 500+ games,Electronics|Games,gaming|nostalgia|retro|25-34|35-44|birthday|gamer,35,60,,,US,true
prod-16,Leather Wallet,Genuine leather bi-fold wallet with RFID protection,Fashion|Gifts,fashion|leather|practical|25-34|35-44|birthday|father,30,55,,,US,true
prod-17,Sunglasses,Polarized UV400 sunglasses with protective case,Fashion|Outdoors,fashion|summer|outdoor|travel|18-24|25-34|birthday,25,60,,,US,true
prod-18,Luxury Watch,Classic analog watch with leather strap,Fashion|Jewelry,fashion|jewelry|luxury|anniversary|25-34|35-44|partner,100,250,,,US,true
prod-19,Scarf,Cashmere blend winter scarf,Fashion,fashion|winter|cozy|holiday|35-44|45-54|parent,30,50,,,US,true
prod-20,Leather Belt,Italian leather dress belt,Fashion,fashion|professional|office|25-34|35-44|coworker,25,45,,,US,true
prod-21,Crossbody Bag,Canvas crossbody messenger bag,Fashion|Travel,fashion|travel|practical|18-24|25-34|student|birthday,35,65,,,US,true
prod-22,Baseball Cap,Adjustable baseball cap with premium logo,Fashion,fashion|casual|outdoor|18-24|birthday|friend,15,30,,,US,true
prod-23,Tie Set,Silk tie with matching pocket square and cufflinks,Fashion|Office,fashion|professional|office|graduation|35-44|formal,30,55,,,US,true
prod-24,Cast Iron Skillet,Pre-seasoned 12-inch cast iron skillet,Cooking|Home,cooking|kitchen|housewarming|25-34|practical,35,60,,,US,true
